Model,MAE,RMSE,SMAPE
DLinear_건조로 온도 2 Zone_0.001_L1Loss,0.3536617159843445,0.6022388935089111,97.09336161613464
DLinear_건조로 온도 2 Zone_0.001_MSELoss,0.3602748215198517,0.5949015617370605,95.01582384109497
DLinear_건조로 온도 2 Zone_0.01_L1Loss,0.3594115972518921,0.6086387634277344,97.69055843353271
DLinear_건조로 온도 2 Zone_0.01_MSELoss,0.36791250109672546,0.6038326621055603,95.8426833152771
NLinear_건조로 온도 2 Zone_0.001_L1Loss,0.4031422734260559,0.7036178112030029,91.21581315994263
NLinear_건조로 온도 2 Zone_0.001_MSELoss,0.40653130412101746,0.6928852200508118,91.16026163101196
NLinear_건조로 온도 2 Zone_0.01_L1Loss,0.3985351622104645,0.6987863779067993,90.54966568946838
NLinear_건조로 온도 2 Zone_0.01_MSELoss,0.40154215693473816,0.6770572662353516,89.66408967971802
LSTM_건조로 온도 2 Zone_0.001_L1Loss,0.3442728519439697,0.5856496691703796,98.69503974914551
LSTM_건조로 온도 2 Zone_0.001_MSELoss,0.34316131472587585,0.5619374513626099,95.418381690979
LSTM_건조로 온도 2 Zone_0.01_L1Loss,0.3382502496242523,0.5686224699020386,98.79873394966125
LSTM_건조로 온도 2 Zone_0.01_MSELoss,0.33659088611602783,0.555439829826355,94.76958513259888
DLinear_소입2존 OP_0.001_L1Loss,0.3286963999271393,0.5232043266296387,71.05845212936401
DLinear_소입2존 OP_0.001_MSELoss,0.32355475425720215,0.5079925656318665,72.45888710021973
DLinear_소입2존 OP_0.01_L1Loss,0.3251569867134094,0.5178911685943604,71.00151181221008
DLinear_소입2존 OP_0.01_MSELoss,0.3225540220737457,0.5085396766662598,71.56934142112732
NLinear_소입2존 OP_0.001_L1Loss,0.340311199426651,0.5429958701133728,70.16814351081848
NLinear_소입2존 OP_0.001_MSELoss,0.3429098129272461,0.5414265394210815,69.96830701828003
NLinear_소입2존 OP_0.01_L1Loss,0.3396461009979248,0.5436027646064758,70.06193995475769
NLinear_소입2존 OP_0.01_MSELoss,0.3414932191371918,0.5392862558364868,69.80627179145813
LSTM_소입2존 OP_0.001_L1Loss,0.3019944429397583,0.47556933760643005,67.95193552970886
LSTM_소입2존 OP_0.001_MSELoss,0.3039652705192566,0.4705660045146942,69.33568120002747
LSTM_소입2존 OP_0.01_L1Loss,0.29694250226020813,0.4709904193878174,66.50556325912476
LSTM_소입2존 OP_0.01_MSELoss,0.2982960343360901,0.4622551500797272,69.12458539009094
DLinear_소입로 온도 2 Zone_0.001_L1Loss,0.42780211567878723,0.7038237452507019,107.47053623199463
DLinear_소입로 온도 2 Zone_0.001_MSELoss,0.43023377656936646,0.7026579976081848,108.02023410797119
DLinear_소입로 온도 2 Zone_0.01_L1Loss,0.427033007144928,0.7027206420898438,107.39954710006714
DLinear_소입로 온도 2 Zone_0.01_MSELoss,0.4300748407840729,0.6993186473846436,106.22957944869995
NLinear_소입로 온도 2 Zone_0.001_L1Loss,0.6138228178024292,1.013573408126831,113.91721963882446
NLinear_소입로 온도 2 Zone_0.001_MSELoss,0.6157627701759338,1.011717677116394,113.7201189994812
NLinear_소입로 온도 2 Zone_0.01_L1Loss,0.60542231798172,0.9943132400512695,113.5894775390625
NLinear_소입로 온도 2 Zone_0.01_MSELoss,0.6099543571472168,0.9895127415657043,113.63582611083984
LSTM_소입로 온도 2 Zone_0.001_L1Loss,0.4189753234386444,0.6847241520881653,108.31810235977173
LSTM_소입로 온도 2 Zone_0.001_MSELoss,0.4193236827850342,0.6724596619606018,108.95975828170776
LSTM_소입로 온도 2 Zone_0.01_L1Loss,0.3993595242500305,0.6522954106330872,104.31244373321533
LSTM_소입로 온도 2 Zone_0.01_MSELoss,0.4037777781486511,0.6428271532058716,105.00040054321289
